Implementation,Iterations,Threads,Accounts,Time(ms),FinalBalance
bank,1000,2,250,0,100000.0
bank,1000,4,250,0,100000.0
bank,1000,8,250,0,100000.0
bank,1000,16,250,0,100000.0
bank,1000,2,1000,0,100000.0
bank,1000,4,1000,0,100000.0
bank,1000,8,1000,0,100000.0
bank,1000,16,1000,0,100000.0
bank,1000,2,10000,0,100000.0
bank,1000,4,10000,1,100000.0
bank,1000,8,10000,1,100000.0
bank,1000,16,10000,0,100000.0
bank,10000,2,250,2,100000.0
bank,10000,4,250,2,100000.0
bank,10000,8,250,2,100000.0
bank,10000,16,250,3,100000.0
bank,10000,2,1000,3,100000.0
bank,10000,4,1000,3,100000.0
bank,10000,8,1000,3,100000.0
bank,10000,16,1000,4,100000.0
bank,10000,2,10000,8,100000.0
bank,10000,4,10000,8,100000.0
bank,10000,8,10000,9,100000.0
bank,10000,16,10000,8,100000.0
bank,100000,2,250,24,100000.0
bank,100000,4,250,29,100000.0
bank,100000,8,250,32,100000.0
bank,100000,16,250,35,100000.0
bank,100000,2,1000,30,100000.0
bank,100000,4,1000,35,100000.0
bank,100000,8,1000,37,100000.0
bank,100000,16,1000,38,100000.0
bank,100000,2,10000,80,100000.0
bank,100000,4,10000,86,100000.0
bank,100000,8,10000,87,100000.0
bank,100000,16,10000,85,100000.0
bank,1000000,2,250,221,100000.0
bank,1000000,4,250,282,100000.0
bank,1000000,8,250,314,100000.0
bank,1000000,16,250,378,100000.0
bank,1000000,2,1000,312,100000.0
bank,1000000,4,1000,335,100000.0
bank,1000000,8,1000,387,100000.0
bank,1000000,16,1000,394,100000.0
bank,1000000,2,10000,868,100000.0
bank,1000000,4,10000,857,100000.0
bank,1000000,8,10000,855,100000.0
bank,1000000,16,10000,857,100000.0
bank,10000000,2,250,2203,100000.0
bank,10000000,4,250,2617,100000.0
bank,10000000,8,250,2913,100000.0
bank,10000000,16,250,3752,100000.0
bank,10000000,2,1000,3214,100000.0
bank,10000000,4,1000,3362,100000.0
bank,10000000,8,1000,3715,100000.0
bank,10000000,16,1000,3783,100000.0
bank,10000000,2,10000,7971,100000.0
bank,10000000,4,10000,8703,100000.0
bank,10000000,8,10000,8549,100000.0
bank,10000000,16,10000,8882,100000.0
