Implementation,Iterations,Threads,Accounts,Time(ms),FinalBalance
bank,1000,2,250,0,100000
bank,1000,4,250,1,100000
bank,1000,8,250,3,100000
bank,1000,16,250,8,100000
bank,1000,2,1000,1,100000
bank,1000,4,1000,2,100000
bank,1000,8,1000,5,100000
bank,1000,16,1000,10,100000
bank,1000,2,10000,6,100000
bank,1000,4,10000,12,100000
bank,1000,8,10000,26,100000
bank,1000,16,10000,54,100000
bank,10000,2,250,7,100000
bank,10000,4,250,17,100000
bank,10000,8,250,40,100000
bank,10000,16,250,83,100000
bank,10000,2,1000,11,100000
bank,10000,4,1000,25,100000
bank,10000,8,1000,53,100000
bank,10000,16,1000,107,100000
bank,10000,2,10000,62,100000
bank,10000,4,10000,120,100000
bank,10000,8,10000,256,100000
bank,10000,16,10000,532,100000
bank,100000,2,250,70,100000
bank,100000,4,250,170,100000
bank,100000,8,250,392,100000
bank,100000,16,250,864,100000
bank,100000,2,1000,112,100000
bank,100000,4,1000,252,100000
bank,100000,8,1000,539,100000
bank,100000,16,1000,1110,100000
bank,100000,2,10000,627,100000
bank,100000,4,10000,1267,100000
bank,100000,8,10000,2581,100000
bank,100000,16,10000,5401,100000
bank,1000000,2,250,681,100000
bank,1000000,4,250,1657,100000
bank,1000000,8,250,3902,100000
bank,1000000,16,250,8472,100000
bank,1000000,2,1000,1074,100000
bank,1000000,4,1000,2503,100000
bank,1000000,8,1000,5403,100000
bank,1000000,16,1000,10927,100000
bank,1000000,2,10000,5939,100000
bank,1000000,4,10000,12655,100000
bank,1000000,8,10000,26354,100000
bank,1000000,16,10000,53792,100000
bank,10000000,2,250,6596,100000
bank,10000000,4,250,16548,100000
bank,10000000,8,250,38993,100000
bank,10000000,16,250,88132,100000
bank,10000000,2,1000,10414,100000
bank,10000000,4,1000,24955,100000
bank,10000000,8,1000,54065,100000
bank,10000000,16,1000,109579,100000
bank,10000000,2,10000,58890,100000
bank,10000000,4,10000,128585,100000
bank,10000000,8,10000,264413,100000
bank,10000000,16,10000,525487,100000
