Implementation,Iterations,Threads,Accounts,Time(ms),FinalBalance
bank,1000,2,250,,
bank,1000,4,250,,
bank,1000,8,250,,
bank,1000,16,250,,
bank,1000,2,1000,,
bank,1000,4,1000,,
bank,1000,8,1000,,
bank,1000,16,1000,,
bank,1000,2,10000,,
bank,1000,4,10000,,
bank,1000,8,10000,,
bank,1000,16,10000,,
bank,10000,2,250,,
bank,10000,4,250,,
bank,10000,8,250,,
bank,10000,16,250,,
bank,10000,2,1000,,
bank,10000,4,1000,,
bank,10000,8,1000,,
bank,10000,16,1000,,
bank,10000,2,10000,,
bank,10000,4,10000,,
bank,10000,8,10000,,
bank,10000,16,10000,,
bank,100000,2,250,,
bank,100000,4,250,,
bank,100000,8,250,,
bank,100000,16,250,,
bank,100000,2,1000,,
bank,100000,4,1000,,
bank,100000,8,1000,,
bank,100000,16,1000,,
bank,100000,2,10000,,
bank,100000,4,10000,,
bank,100000,8,10000,,
bank,100000,16,10000,,
bank,1000000,2,250,,
bank,1000000,4,250,,
